,titulo,link
67,"Información vulnerada de datos es responsabilidad del Estado, dice experto en seguridad",/noticias/tecnologia/6/informacion-vulnerada-datos-responsabilidad-estado-seguridad
68,"Policía desarticula 18 bandas delictivas, entre el jueves y el domingo",/noticias/judicial/12/policia-bandas-delictivas-detenidos
69,Tres estudiantes procesados por robo al no devolver dinero que hallaron en la calle,/noticias/judicial/12/estudiantes-robo-dinero-calle
70,Directora del Archivo Histórico confirmó la desaparición del Testamento de Eugenio Espejo,/noticias/cultura/10/desaparicion-testamento-eugenio-espejo
77,Partes robadas de carros se venden en tres sectores,/noticias/judicial/12/piezas-robadas-carros-ayacucho-cachineria
78,Policía frustra asalto a entidad bancaria en Naranjal,/noticias/judicial/12/amenaza-bomba-naranjal
79,La jueza que dejó libre a 8 procesados en caso Sinaí es separada de área penal,/noticias/judicial/12/jueza-procesados-caso-sinai-area-penal
80,Delincuentes disparan tras robar en panadería de Urdesa,/noticias/judicial/12/delincuentes-robo-panaderia-urdesa
81,Implicado en robo aseguró que Vanessa era cómplice,/noticias/judicial/12/robo-olga-vanessa-complicidad
82,Hacker roba datos de 106 millones de clientes del banco Capital One,/noticias/mundo/8/hacker-robo-datos-106-millones-clientes-banco-capital-one
83,Asaltante amenazó a cajera con foto de su casa y se llevó $6.000,/noticias/judicial/12/asaltante-amenazo-foto-casa-cajera-6000
84,"Kenig, investigado por robo de carros en Argentina, habla de difamación",/noticias/judicial/12/alejandrokenig-investigacion-robo-carros-argentina
85,Comerciantes de la plaza San Francisco son víctimas de robos,/noticias/regional-sur/2/comerciantes-plazasanfrancisco-victimas-robos
86,Policía desarticula banda dedicada al asalto y robo de automotores,/noticias/judicial/12/policia-desarticula-banda-robo-automotores
93,Detenido dijo que se llevó bicicleta de vigilante por confusión,/noticias/judicial/12/robo-bicicleta-vigilante-atm
94,Por un celular condenan a un hombre a 18 meses de cárcel en Ambato,/noticias/judicial/12/condena-hombre-ambato-robo-celular
95,Guardia fallece por herida de bala en robo de una camaronera,/noticias/judicial/12/guardia-fallece-robo-camaronera
96,Pertenencias de Salvador Allende fueron robadas en Chile,/noticias/mundo/8/pertenencias-allende-robo-chile
97,Parque inclusivo de Riobamba fue objeto de vandalismo y robo,/noticias/regional-centro/2/parqueinclusivo-riobamba-vandalismo-robo
98,En 77 días roban 86.165 celulares a nivel nacional,/noticias/judicial/12/celulares-robo-hurto-policia-fiscalia
99,Cuatro personas fueron detenidas por robar en locales de centro comercial,/noticias/judicial/12/cuatro-detenidos-robo-centro-comercial
100,Detenidos en España dos ancianos que atracaban bancos,/noticias/mundo/8/detenidos-espana-ancianos-asaltos-bancos
101,Hombre asesina de un tiro a vecino por supuesto robo de ropa interior,/noticias/judicial/12/asesinato-vecino-robo-ropainterior
102,Policía detiene a cuatro personas por robo en consulado de Venezuela,/noticias/judicial/12/policia-robo-consulado-venezuela
109,Asaltan en consulado de Venezuela de Guayaquil,/noticias/judicial/12/personas-armadas-consulado-venezuela-guayaquil
110,Operativos dejan varios detenidos por robo y extorsión,/noticias/judicial/12/operativos-detenidos-robo-extorsion
111,Delincuentes roban dinero de cajero automático recién habilitado,/noticias/judicial/12/delincuentes-cajeroautomatico-robo
112,2.408 denuncias de robo se receptan durante 2019,/noticias/judicial/12/denuncias-robo-policia-judicial-ecuador
113,Detenidos 16 vinculados a robo de entidad bancaria en Manta,/noticias/judicial/12/manta-detenidos-robo-entidadbancaria
114,Las FF.AA. detectan tubería para robar combustible estatal,/noticias/judicial/12/militares-tuberia-combustible
115,Reina de Quito denunció el robo de su celular,/noticias/judicial/12/reina-quito-robo-celular
116,Un millón de dólares sería el monto sustraído a entidad bancaria en Manta,/noticias/judicial/12/millon-dolares-robo-entidadbancaria-manta
117,Robo a un banco se registró en centro comercial de Manta,/noticias/judicial/12/robo-banco-manta
118,Agentes frustraron robo de $ 10.000 en local de lotería al sur de Guayaquil,/noticias/judicial/12/robo-frustado-loteria-guayaquil
125,Ciudadano fue detenido cuando robaba partes de paradero urbano en Guayaquil,/noticias/judicial/12/detenido-robo-paradero-urbano
126,Policía desarticula banda dedicada a robo de locales comerciales en Manta,/noticias/judicial/12/banda-desarticulacion-robo-localescomerciales-manta
127,Prisión preventiva para seis detenidos por robo en el norte de Guayaquil,/noticias/judicial/12/prision-preventiva-detenidos-robo-guayaquil
128,"Bandas dedicadas al robo, estafa y piratería marítima caen en megaoperativo",/noticias/judicial/12/bandas-robo-estafa-pirateriamaritima-megaimpacto11
129,Armada recupera en Esmeraldas una embarcación que fue robada en Manta,/noticias/judicial/12/armada-manabi-esmeraldas-robo
130,Sospechoso de robar en oficina de la CTE portaba un grillete,/noticias/judicial/12/sospechoso-robo-cte-dispositivo-rastreo
131,Plan “Vehículo Seguro” bajará el robo de autos,/noticias/judicial/12/plan-vehiculo-seguro-ecuador
132,"Sospechosos de crimen de mujer, tras las rejas",/noticias/judicial/12/femicidio-guayaquil-captura-sospechoso
133,Ladrón golpea amujer y le arrebata el celular,/noticias/judicial/12/asalto-celular-violencia-guayaquil
134,Roban datos de 92 millones de usuarios de la web genealógica MyHeritage,/noticias/tecnologia/6/myheritage-datos-robo
141,El Gobernador de Azuay denuncia robo de dinamita,/noticias/regional-sur/2/robo-dinamita-rio-blanco-azuay
142,Miembro de banda delictiva en Quito cuenta con 14 arrestos por robo,/noticias/judicial/12/integrante-banda-delictiva-quito-14-arrestos-robo
143,"Robaron el traje de ""Iron Man"", valorado en $ 325.000",/noticias/espectaculos/10/robo-traje-iron-man
144,Policía desarticula banda que robó $ 250.000 de banco en Guayaquil,/noticias/judicial/12/detenidos-robo-banco-guayaquil
145,Ladrones exigían hasta $ 300 por motos y $ 3.000 por carros robados,/noticias/judicial/12/robo-carros-extorsion-guayaquil
146,Estatua de Alberto Spencer no fue robada; está en mantenimiento,/noticias/guayaquil/2/estatua-de-alberto-spencer-no-fue-robada-esta-en-mantenimiento
147,Encuentran a dos niños que estaban en un taxi cuando fue hurtado en Ecuador,/noticias/judicial/12/encuentran-a-dos-ninos-que-estaban-en-un-taxi-cuando-fue-hurtado-en-ecuador
148,Operativo 'Impacto 68' deja 4 detenidos por robo y microtráfico,/noticias/judicial/12/operativo-impacto-68-deja-4-detenidos-por-robo-y-microtrafico
149,Policía recupera otras 11 computadoras de las robadas en una unidad educativa,/noticias/judicial/12/policia-recupera-mas-computadoras-de-las-robadas-en-unidad-educativa
150,'Operativo 44' desarticuló a banda dedicada al robo en buses,/noticias/judicial/12/operativo-44-desarticulo-a-banda-dedicada-al-robo-en-buses
157,Cae banda de delincuentes que operaban en Cotopaxi y Pichincha,/noticias/judicial/12/cae-banda-de-delincuentes-que-operaban-en-cotopaxi-y-pichincha
158,"Hallan la botella de vodka ""más cara del mundo"", pero vacía",/noticias/mundo/8/hallan-la-botella-de-vodka-mas-cara-del-mundo-pero-vacia
159,'Mega Fortaleza 6' detuvo a 14 personas en varias provincias,/noticias/judicial/12/operativo-mega-fortaleza-6-detuvo-a-14-personas-en-varias-provincias
160,Lancha recuperada fue entregada a su dueña,/noticias/regional-manabi/2/lancha-recuperada-fue-entregada-a-su-duena
161,'Fortaleza 44' desarticuló presunta banda que robaba en entidades financieras,/noticias/judicial/12/fortaleza-44-desarticulo-presunta-banda-que-robaba-en-entidades-financieras
162,Policía detuvo a dos personas por presunto robo en la Metrovía,/noticias/guayaquil/2/policia-detuvo-a-dos-personas-por-presunto-robo-en-la-metrovia
163,Dos extranjeros detenidos por intento de robo en el centro de Guayaquil,/noticias/judicial/12/dos-extranjeros-detenidos-por-intento-de-robo-en-el-centro-de-guayaquil
164,Tres extranjeros detenidos por estruche de vivienda en Guayaquil,/noticias/judicial/12/tres-extranjeros-detenidos-por-estruche-de-vivienda-en-guayaquil
165,Robo de combustible detona enfrentamientos que dejan 10 muertos en México,/noticias/mundo/8/robo-de-combustible-detona-enfrentamientos-que-dejan-10-muertos-en-mexico
166,Policía recupera embarcaciones y motores fuera de borda robados en camaronera,/noticias/judicial/12/policia-recupera-embarcaciones-y-motores-fuera-de-borda-robados-en-camaronera
173,Cuatro detenidos por robo de armas en camaronera de Durán,/noticias/judicial/12/cuatro-detenidos-por-robo-de-armas-en-camaronera-de-duran
174,Tres detenidos por asalto a locales comerciales en Guayaquil,/noticias/judicial/12/cuatro-detenidos-por-asalto-a-locales-comerciales-en-guayaquil
175,La Policía desarticuló en Milagro una banda dedicada a robar en unidades educativas,/noticias/judicial/12/la-policia-desarticulo-en-milagro-una-banda-dedicada-a-robar-en-unidades-educativas
176,Presunto ladrón de láminas de oro en Manhattan fue aprehendido en Guayaquil,/noticias/judicial/12/presunto-ladron-de-laminas-de-oro-en-manhattan-fue-aprehendido-en-guayaquil
177,Las joyas robadas a Kim Kardashian en París fueron fundidas y retalladas,/noticias/espectaculos/10/las-joyas-robadas-a-kardashian-en-paris-fueron-fundidas-y-retalladas
