,fecha,titulo,descripcion
33,"abril 28, 2021",En Loja reportan la detención de dos hombres por asalto a un comerciante,"Los sospechosos, junto a otro antisocial que se fugó, habían despojado de $ 1.500 del patio de automoviles, pero mas tarde les cayó la ley"
34,"abril 27, 2021",Emboscada mortal en Puebloviejo,Un muerto y un herido quedó como resultado de un asalto a dos ciudadanos que salieron a vender cacao
35,"abril 27, 2021",En Pomasqui ladrones emboscan y apuñalan a un 'pibe' para robarle,La víctima transitaba por un puente cuando tres sujetos lo interceptaron. Una cámara de vigilancia del sector los grabó cuando huían de la escena
36,"abril 27, 2021",Babahoyo: ¡Cachazo en la cabeza durante robo frustrado!,"Un docente fue atacado por hampones con un arma de fuego, cuando se dirigía por la Avenida Universitaria. La Policía evitó que se consumara el robo"
37,"abril 26, 2021","Cuchillo en mano, pillastres le 'bajaron' el celular a un joven en el sur de Quito",El hecho ocurrió en la ciudadela La Arcadia. Dos sujetos en moto asaltaron al chico y huyeron de la escena con el botín
38,"abril 22, 2021",Aprovecharon que rezaban para asaltarlos,Dos delincuentes que andaban en una moto vieron la oportunidad para meterse a una casa y delinquir
39,"abril 21, 2021",¡Sano y salvo! Conductor volvió a la vida luego de asalto y secuestro en el sur de Guayaquil,Le robaron el carro y luego lo tuvieron cautivo hasta dejarlo maniatado de pies y manos. La Policía lo encontró y lo entregó a sus familiares
40,"abril 20, 2021",Detienen a dos pillos que se 'esfumaban' con 45 'lucas',"Los sujetos fueron atrapados en la vía a Daule, al norte de Guayaquil. Le habían sustraído el 'billete' al empleado de una entidad financiera"
41,"abril 20, 2021","Durán: apresan a dos sujetos armados, uno de ellos asaltó una gasolinera","La delincuencia no se detiene en este cantón, donde a diario la Policía realiza operativos para contrarrestarla"
42,"abril 15, 2021",Cae el segundo sospechoso de asaltar a conductor en el centro de Guayaquil,"La Policía Nacional realizó un operativo, luego de que dos jóvenes robaran a un conductor cerca del Mercado Central el miércoles"
43,"abril 14, 2021",Un camionero fue tiroteado por resistirse a un asalto en el Trinipuerto,Ocurrió en la entrada al sitio. La víctima recibió un tiro en el cuello. Los sospechosos se movilizaban en una bicicleta
44,"abril 13, 2021",Un 'choro' sin camisa se robó dos 'gambas' de un camión,"Un repartidor fue asaltado en Durán, pero logró ser auxiliado por un grupo de policías"
45,"abril 11, 2021",Quito: intento de asalto a un policía termina con un muerto y dos heridos,"La refriega se produjo cuando el uniformado fue amedrentado por los sospechosos, de nacionalidad venezolana. Uno de ellos falleció"
46,"abril 09, 2021",Dos heridos tras el asalto a un bus en Guayaquil,Uno de los tiroteados es un militar que trató de detener a los delincuentes. Las dos víctimas se encuentran estables
47,"abril 07, 2021",Guayaquil: Roban dinero de una gasolinera pese a la resistencia de los guardias,El asalto fue en una estación de servicio de la Av. Francisco de Orellana. Uno de los seis sospechosos fue detenido con ayuda de transeúntes
48,"abril 05, 2021",Manta: Disfrazados de guardias intentaron asaltar banco,Policía frustró delito y atrapó a dos sospechosos dentro de la entidad financiera y decomisaron dos armas de fuego
49,"abril 04, 2021",Guayaquil: Asaltaban con arma de juguete,"Dos sujetos fueron detenidos tras el robo de teléfonos celulares a un grupo de personas, en el norte de la urbe porteña"
50,"abril 02, 2021",Estados Unidos: El Capitolio 'ardió' de nuevo,Un trágico suceso que la policía no considera terrorismo y que se produce apenas tres meses después del asalto violento al Congreso
51,"marzo 30, 2021",Confuso asalto con muerte,Policía investiga si balacera ocurrida en centro comercial de Machala tiene relación con el hombre fallecido en centro de salud de Pasaje
52,"marzo 30, 2021",En Guayaquil capturan a tres supuestos miembros de la banda De Poday,"Dos hombres y una mujer cayeron al tratar de huir de la Policía, luego del asalto a un repartidor de víveres en la cooperativa Santiaguito Bucaram"
53,"marzo 29, 2021",Elaboraban alimentos con aceite robado a una fábrica de Guayaquil,La policía recuperó 96 cajas del producto que había sido atracado el jueves pasado de un contenedor guardado en la zona industrial de la Vía a Daule
54,"marzo 28, 2021","En Guayaquil hombre fue asesinado, mientras veía jugar pelota a sus 'panas' de barrio","En otro hecho un joven que viajaba en un bus fue herido de bala por resistirse al asalto. En la Zona 8, ya van 119 muertes violentas"
55,"marzo 26, 2021",Robo de 50 'lucas' se le hizo 'agua' a un pillo,"Un sujeto pretendía asaltar a un ciudadano, quien había retirado dinero de una entidad bancaria en Urdesa, norte de Guayaquil"
56,"marzo 25, 2021",En Carapungo lo ‘viraron’ por una bicicleta,"Un testigo contó que el ladrón se acercó y golpeó a la víctima, quien cayó pesadamente al piso. Mientras eso pasaba, el tipo huyó de la escena."
57,"marzo 25, 2021","Tres detenidos en Guayaquil, luego del asalto a un comisariato","Los sospechosos se hicieron pasar como clientes para engañar a los guardias y llevarse, este jueves, el dinero del negocio ubicado en el norte"
58,"marzo 24, 2021",Detienen a dos 'pillos' que robaban el cerro Las Cabras,"Dos delincuentes fueron capturados por la Policía, luego de que asaltaran a una mujer en un populoso sector de Durán"
59,"marzo 22, 2021","En Guayaquil, cinco 'pillos' se alzaron con 15 'lucas' de una avícola","Horas después del asalto, un sospecho fue detenido en el suburbio porteño. El individuo es una 'joyita', registra cinco detenciones"
60,"marzo 22, 2021",¡Y además montoneros! Cuatro pillos intentaron asaltar a un joven en Quito,El chico iba por la calle cuando los sujetos en dos motos empiezan a seguirlo. El guardia de un conjunto lo defendió
61,"marzo 19, 2021",Guayaquil: pillos 'limpiaron' a tres clientes que esperaban fuera de agencia bancaria,Las víctimas acudieron a hacer sus trámites pero nunca se imaginaron que la espera para ingresar les traería un mal rato
62,"marzo 18, 2021",Resistirse al asalto le costó un tiro mortal,"Sacapintas intentaron quitarle tres mil dólares, pero el joven se opuso al delito en Portoviejo"
63,"marzo 14, 2021",Babahoyo: ‘Pillos’ asaltaron a creyentes en pleno culto,"Eran cinco los sospechosos que no solo despojaron de sus pertenencias a los asistentes, sino que además robaron dos motocicletas"
64,"marzo 12, 2021",¡Amarraron a los dueños de un cíber y se 'chorearon' 8 'lucas'!,Tres hombres armados ingresaron al negocio ubicado en el centro de Guayaquil. En la cartera de la propietaria guardaron el billete que robaron
65,"marzo 11, 2021",¡Hombre se 'fajó' con dos ladrones en moto y mató a uno de ellos!,"En Bogotá, un ciudadano disparó a dos hombres que lo acababan de robar"
