,fecha,titulo,descripcion
28,13/04/2021,Robo a un adulto mayor que caminaba con muletas en el Centro de Quito,"Una mujer sigilosamente ingresa la mano en el bolsillo del adulto mayor, saca la cartera y la guarda en una maleta. El hombre salió a comprar víveres en una bodega y le arrebataron lo que tenía. En San Blas los vecinos dicen que los robos y asaltos se producen a cualquier hora del día. Video cortesía"
29,13/04/2021,Un muerto y tres violaciones en un asalto armado a un orfanato en Haití,"Un grupo de hombres armados irrumpió el pasado lunes 12 de abril del 2021 en un orfanato en las afueras de Puerto Príncipe, asesinaron a un guardia de seguridad y agredieron sexualmente a tres personas, entre ellos dos menores, informaron este martes 13 fuentes oficiales."
30,12/04/2021,Tres personas intentaron asaltar a un policía en el sur de Quito; dos murieron en una balacera y el tercero fue procesado penalmente,"El hombre que intentó asaltar a un policía en el sur de Quito fue procesado por el delito de robo con violencia. Ese ilícito es sancionado con cárcel de cinco a siete años, según el artículo 189 del Código Integral Penal."
31,09/04/2021,Víctima persiguió con su camioneta y atropelló a los armados que le asaltaron al salir de un cajero bancario,"Un joven que fue asaltado por hombres armados, después de retirar dinero de un cajero automático, persiguió a los atacantes y los atropelló. El hecho se registró en el barrio Fisherton, en Rosario, y ha causado conmoción en esa localidad argentina."
32,04/04/2021,"Ciudadano localiza con GPS su teléfono robado, pero sin orden judicial no se pudo hacer requisa","Este domingo 4 de abril del 2021, un ciudadano que denunció haber sido víctima de un asalto en Quito, logró encontrar con el GPS su celular, pero sin una orden judicial la Policía no pudo hacer requisa."
33,04/04/2021,"Ciudadano localiza con GPS su teléfono robado, pero sin orden judicial no se pudo hacer requisa","Este domingo 4 de abril del 2021, un ciudadano que denunció haber sido víctima de un asalto en Quito, logró encontrar con el GPS su celular, pero sin una orden judicial la Policía no pudo hacer requisa."
34,02/04/2021,Muere un policía y el hombre que asaltó la barricada de seguridad en el Capitolio,"Un vehículo embistió este viernes 2 de abril del 2021 una barricada de seguridad en el Capitolio de Estados Unidos y provocó heridas en dos agentes de policía, uno de los cuales murió al igual que el asaltante, confirmó Yogananda Pittman, jefa interina de la Policía del Capitolio."
35,25/03/2021,Zuckerberg defiende a Facebook y culpa a Trump del asalto al Capitolio,"El consejero delegado de Facebook, Mark Zuckerberg, defendió este jueves 25 de marzo del 2021 el papel que su empresa desempeñó durante el proceso electoral de 2020 en EE.UU. y los meses posteriores, y culpó al expresidente Donald Trump del asalto al Capitolio por parte de miles de sus seguidores el 6 de enero."
36,25/03/2021,Conductor impacta con su auto a un agresor y evita asalto a un repartidor,"Una cámara captó el momento en el que un conductor en Brasil parquea al ver un asalto y decide atropellar al atacante. La persona pone en marcha el auto, al observar que el sospechoso saca un arma blanca para agredir a un repartidor. Video: Redes sociales"
37,25/03/2021,Auto impacta a un atacante para evitar el asalto a un repartidor,"Un repartidor que entrega productos mediante aplicaciones fue interceptado en una vía por un atacante, cuando se disponía a salir en su moto para prestar su servicio. El sospechoso se le acercó a bordo de una bicicleta."
38,23/03/2021,Cámara registra a conductor que atropella a hombres que le asaltaron,"Una cámara de seguridad registró el momento en el que un conductor impacta a tres hombres que minutos antes le apuntaron con un arma, durante un asalto. Los sospechosos quedaron heridos en la vía y al lado de ellos había una pistola. Video: Redes sociales"
39,23/03/2021,Conductor atropella a tres hombres que le habrían asaltado antes,"En el video aparecen tres hombres que caminan por una acera y luego cruzan hacia un parterre. Segundos después, una camioneta los atropella y las personas quedan heridas en el piso, cerca del vehículo."
40,23/03/2021,Vecinos graban asaltos a conductores en las calles de Quito,"Las personas que residen en barrios del centro de Quito han grabado los momentos en que agresores asaltan a conductores que detienen sus autos por el semáforo en el sector de El Trébol y la vía al valle de Los Chillos, en el centro de la capital. Video: Cortesía"
41,18/03/2021,El mensaje de una madre que perdió a su hija: ‘Te pido perdón por no cumplir los muchos sueños que tenías’,"""Si tuviera otra oportunidad de cargarte en mis brazos, de oler tu cabecita, de reír a tu lado... La tomaría mil veces, solo un minuto Dios! para oír su voz y sentir sus caricias. Me la quitaron! Apagaron su luz y con ella la mía"", este es un fragmento del conmovedor mensaje de una madre que perdió a su hija."
42,17/03/2021,Conductor mató a su pasajera al intentar evitar ser asaltado,Una mujer de 47 años que esperaba un vehículo que la lleve al cumpleaños de su nieta murió en medio de un incidente que tuvo lugar cuando el conductor del automóvil que debía transportarla dio marcha atrás y la atropelló para evitar ser asaltado. Así lo reporta el medio Infobae este miércoles 17 de marzo del 2021.
43,16/03/2021,Hombre que manejaba un taxi asaltaba y atacaba sexualmente a pasajeras; fue sentenciado a 29 años por violación,"Los detalles de la violación quedaron en conocimiento de los jueces. La fiscal Yoli Pinillo detalló cómo ocurrió el ataque y con base en esos datos, los jueces Carlos Churta, Diógenes Cueva y Narcisa Rosado sentenciaron a 29 años de cárcel al imputado."
44,16/03/2021,Asesinan a más de 30 civiles en dos ataques contra aldea en oeste del Níger,"Más de treinta civiles fueron asesinados en un doble ataque perpetrado ayer por un grupo de personas armadas no identificadas en la localidad de Ouallam, en la región de Tillébéry, fronteriza con Mali, según informó hoy a Efe una fuente de seguridad de la zona."
45,16/03/2021,Robo a un restaurante en el norte de Quito quedó registrado en video,"Eran las 21:13 del lunes 15 de marzo del 2021 cuando tres hombres ingresaron a un restaurante ubicado en las cercanías de un centro comercial en el norte de Quito. A los pocos segundos, uno saca un arma y apunta a unos comensales y otros dos se acercan a la caja del local."
46,16/03/2021,Asalto a un restaurante en el norte de Quito quedó registrado en video,Una cámara captó el momento en el que tres hombres asaltaron un restaurante ubicado en el norte de Quito. El robo se cometió en menos de un minuto. Video: Redes sociales
47,09/03/2021,Mujer que tomó un taxi en Quito fue asaltada al llegar a su casa; los armados estaban escondidos en la cajuela,La mujer contó todo a los policías. Dijo que el 5 de marzo del 2021 tomó un taxi y se dirigió a un conjunto residencial ubicado al norte de Quito y que al llegar a la casa fue asaltada.
48,05/03/2021,El FBI detiene a un funcionario de Trump por el asalto al Capitolio,"La Oficina Federal de Investigaciones (FBI) detuvo este jueves 4 de marzo del 2021 a un funcionario del expresidente Donald Trump por el asalto al Capitolio del pasado 6 de enero, convirtiéndose así en el primer arrestado vinculado al anterior Gobierno, según informan medios locales."
49,04/03/2021,YouTube levantará la prohibición a Trump cuando baje el riesgo de violencia,"YouTube de Alphabet Inc levantará su suspensión del canal del expresidente de Estados Unidos Donald Trump cuando determine que el riesgo de violencia haya disminuido, dijo el jueves 4 de marzo del 2021 la presidenta ejecutiva de la compañía, Susan Wojcicki."
50,03/03/2021,"Videos muestran un asalto en las oficinas del Barcelona SC, en el estadio Monumental en Guayaquil","Las oficinas administrativas del Barcelona Sporting Club fueron asaltadas, según videos que trascendieron la tarde de este miércoles, 3 de marzo del 2021."
51,01/03/2021,En 13 segundos un hombre quitó una ventana de un vehículo y se llevó varios artículos de fotografía y video en Ibarra,Un hombre se sustrajo varios equipos de video tras quitar la ventana de un vehículo estacionado. El hecho se registró en la ciudad de Ibarra.
52,01/03/2021,"20 procesados, armas incautadas; falso ‘equipo de fútbol’ capturado en Ambato","Una veintena de personas fue capturada en una operación de la Fiscalía y la Policía en Atocha, Ficoa, parroquia del cantón Ambato. Los sospechosos fingieron pertenecer a un equipo de fútbol para robar dos inmuebles en un conjunto residencial, informaron agentes este lunes 1 de marzo del 2021."
53,26/02/2021,Cuatro armados asaltaron una agencia de lotería en Portoviejo,"Cuatro hombres armados asaltaron una agencia de loterías, ubicada entre las calles Ramos Iduarte y Ramón Fernández, en Portoviejo, capital de la provincia de Manabí, en la Costa del Ecuador."
54,26/02/2021,Video capta a motociclista que invade veredas en Quito para robar a transeúntes,Las imágenes circularon en redes sociales. En el video se puede ver a una motocicleta que invade las veredas de una vía de Quito y el conductor del vehículo aprovecha la velocidad del automotor para arranchar un objeto a la víctima y escapar.
