,fecha,titulo,link,descripcion
10,2020-04-05,Municipio de Guayaquil donará mil ambulancias de cartón para los barrios populares,http://elmercioco.com/municipio-de-guayaquil-donara-mil-ambulancias-de-carton-para-los-barrios-populares/,"EM. Noticias.- Como un aporte solidario para con las familias que tienen a un ser querido enfermo durante la pandemia generada por el COVID-19, el Municipio de Guayaquil con el aporte de la empresa privada y la Asociación de Cartoneros, ha coordinado la entrega de dos mil ambulancias de cartón corrugado para atender a los enfermos. Las ambulancias de cartón llevarán a los muertos a sus ataúdes de cartón y serán distribuidos en los cementerios dibujados en cartón y de ser necesario, se entregará también al personal de Criminalística de la Policía Nacional."
11,2020-04-03,Maria Paula Romo: “Los Correístas se están muriendo a propósito para desprestigiarnos”,http://elmercioco.com/maria-paula-romo-los-correistas-se-estan-muriendo-a-proposito-para-desprestigiarnos/,"EM. Noticias.- La ministra de Gobierno, María Paula Romo, anunció que si habrá toque de queda total en la provincia de Guayas este fin de semana. A través de su cuenta en la red social Twitter Romo indicó que no hay que entrar en el pánico, y afirmó que las muertes en Guayaquil son planificadas por Rafael Correa desde Bélgica."
12,2020-03-21,Cynthia Viteri se cura milagrosamente del Coronavirus,http://elmercioco.com/cynthia-viteri-se-cura-milagrosamente-del-coronavirus/,"EPS. Noticias.- La alcaldesa de Guayaquil, Cynthia Viteri, informó a las 10:30 de este sábado 21 de marzo del 2020, a través de redes sociales, que ha sido milagrosamente curada del coronavirus covid-19.  Viteri explicó que su milagrosa cura fue gracias a un cebiche de balde que se comió en la calle."
13,2020-03-21,La Unión Europea prohibe la entrada a guayaquileños por 10 años,http://elmercioco.com/la-union-europea-prohibe-la-entrada-a-guayaquilenos-por-10-anos/,"APS. Noticias. Guayaquil, Ecuador.- La Unión Europea emitió sanciones en contra de los guayaquileños por el bloqueo de la pista de aterrizaje del Aeropuerto José Joaquin de Olmedo de Guayaquil para impedir el aterrizaje de un avión procedente de España.  Bajo un comunicado, la Unión Europea no dejará entrar a su territorio a ningún ciudadano guayaquileño durante 10 años, y los descendientes de Cynthia Viteri, no podrán entrar a Europa por dos generaciones."
14,2020-02-17,Erika Vélez afirma que Vargas la llamó a decirle que él es su ‘segundo marido’,http://elmercioco.com/erika-velez-afirma-que-vargas-la-llamo-a-decirle-que-el-es-su-segundo-marido/,"APS. Noticias.- La actriz Erika Vélez anunció que el presidente de la CONAIE Jaime Vargas la contactó por teléfono. Érika Vélez quien fue elegida para ser la presentadora del programas Master Chef Ecuador reality show de gastronomía, afirmó que un tal “Jaime Vargas” le llamó para comunicarle que él es su segundo marido."
15,2020-02-17,Jaime Vargas se auto proclama “Dios Hijo”,http://elmercioco.com/jaime-vargas-se-auto-proclama-dios-hijo/,"APS Noticias.- Desde el Parque Calderón en la ciudad de Cuenca, el líder indígena Jaime Vargas se refirió, este 17 de febrero, al viaje que realizó hace unos días a Guatemala, donde participó en actividades con representantes de pueblos indígenas de otros países.  En rueda de prensa, el presidente de la Confederación de Nacionalidades Indígenas del Ecuador (Conaie) dijo que el presidente de Guatemala, Alejandro Giammattei, debió respetarlo porque él es presidente de la CONAIE y Dios Hijo."
16,2020-02-13,Moreno le habría robado más de 10 millones de átomos a Donald Trump,http://elmercioco.com/moreno-le-habria-robado-mas-de-10-millones-de-atomos-a-donald-trump/,"APS. Noticias.-  Según fuentes oficiales, el presidente Lenín Moreno habría solicitado al registro civil que se le cambie la denominación de mestizo a blanco en las bases de datos ecuatorianas. Según Moreno, sus átomos ya no son 100% ecuatorianos porque respiró durante 15 minutos los átomos de Donald Trump durante su visita a Washington."
17,2020-02-01,Moreno:”Las mujeres no denuncian el acoso sexual cuando ven una vergota”,http://elmercioco.com/morenolas-mujeres-no-denuncian-el-acoso-sexual-cuando-ven-una-vergota/,"APS. Noticias.- El presidente de Ecuador, Lenín Moreno, expuso este viernes su interpretación del acoso sexual y dijo que “las mujeres no denuncian ningun acoso cuando el hombre es tiene una vergota, porque cuando ven ‘tremendo paquete’ no piensan en que sea un abuso”. “Los hombres estamos sometidos permanentemente al peligro de que nos acusen de acoso, menos aquellos que tienen 3 piernas, a ellos nunca les acusan”, dijo el presidente durante un acto público en Guayaquil con inversionistas y financieros a los que exponía su política de expansión económica."
18,2019-10-31,"Según Ivan Granda, Maria Paula Romo tendría el mustacho de Hitler abajo del ombligo",http://elmercioco.com/segun-ivan-granda-maria-paula-romo-tendria-el-mustacho-de-hitler-abajo-del-ombligo/,"APS. Noticias.- Después de que la CIDH investigara los asesinatos cometidos por el gobierno de Lenin Moreno durante las protestas, Ivan Granda -amante de la ministra del interior- confesó la perturbadora noticia. Según Granda, el detalle del mustacho de Hitler no le quedó desapercibido cada vez que se pegaba un “cebichito de concha”."
19,2019-10-31,Diana Salazar es la flamante “Mama Negra 2019”,http://elmercioco.com/diana-salazar-es-la-flamante-mama-negra-2019/,"APS. Noticias.– La Mama Negra es una fiesta popular que se realiza todos los años en la ciudad de Latacunga, localidad ubicada a menos de dos horas de Quito. Esta celebración fue declarada como Patrimonio Cultural Intangible en octubre de 2005 y convoca cada año a miles de turistas nacionales y extranjeros. Las autoridades informaron que la fiscal General del Estado, Diana Salazar ha sido elegida como la Mama Negra 2019."
20,2019-10-29,Nebot se tatua al Che como prueba de su amor al comunismo,http://elmercioco.com/nebot-se-tatua-al-che-como-prueba-de-su-amor-al-comunismo/,"APS. Noticias.- Después de publicar su video socialista, el ex alcalde de Guayaquil Jaime Nebot, decidió mostrar sus tatuajes comunistas en sus redes sociales. “El comunismo es el camino hacia el desarrollo, el neoliberalismo no da de comer a los que más lo necesitan, yo soy un comunista de convicción, ¡patria o muerte!”, afirmó Nebot en un discurso."
